Organisasjonsnummer	Barnehageenhetnavn	2017.Alle eierformer.Grunnbemanning totalt
992581328	Gullungene Familiebarnehage Avd Vollsveien	2.2
974554216	Hamang barnehage	9
995849658	Haslum barnehage Avd Nedre Haslum	6
974186829	Haslum barnehage Avd Øvre Haslum	13.9
973469207	Helgerud Menighets barnehage	4.2
974554240	Helset barnehage Avd Helset	10
974554291	Helset barnehage Avd Skollerudveien	12
993233994	Hornienga Fus barnehage AS	38.5
987805420	Hosle barnehage Avd Hosle	18.8
994026143	Hosle barnehage Avd Klubbhuset	4.3
992382643	Hundsund barnehage	23.3
986136258	Huskestua barnehage	22.2
974553872	Høvik barnehage Hovedhus	30
973455079	International Montessori Preschool barnehage	4.5
990387915	Jar Fus barnehage AS	10.3
992255862	Jarenga barnehage	16.9
974554178	Jongskollen barnehage	25
974865718	Kamilleblom Familebarnehage	3
973471686	Kirkerudbakken barnehage	7
974143097	Kløverenga barnehage	5.7
974553910	Kolsås barnehage Avdeling Hovedhuset	12
990619352	Kolsås barnehage Avdeling Knerten	2
990619360	Kolsås barnehage Avdeling Småbarnshuset	9
982291127	Kolsåstrollet barnehage	14.6
974865041	Krokus Familiebarnehage Da	2.8
973336452	Lijordet barnehage	5.7
992924934	Lilja Familiebarnehage Avd Grinistubben 2	2.4
912807932	Lilja Familiebarnehage Avd Grinistubben 6	2.4
874180882	Lillehagen barnehage	18.7
974553732	Lillehagen barnehage Avd Helgerud	8.6
973999389	Lille-Jong barnehage	5
982913683	Lindegaard Familebarnehage	2.3
974553953	Lommedalen barnehage Avd Krydsby	12.5
988261645	Lommedalen barnehage Avdeling Lesterud	9.7
981232232	Lommedalen Menighets barnehage	3.7
995967707	Lysaker Idrettsbarnehage AS	22.1
815366832	Læringsverkstedet barnehage Avd Forneu Idrettsbarnehage	33.1
992413034	Læringsverkstedet barnehage Avd Haslum Idrettsbarnehage	23.9
999640869	Læringsverkstedet barnehage Avd Jar Idrettsbarnehage	21.8
974553899	Lønnås barnehage	24
973999427	Marihøna barnehage Sa	8.8
874116572	Martina Hansens Hospital Personalbarnehagen	11.5
979183453	Miniputten Familiebarnehage Da	2.4
976689577	Mortenskogen Familiebarnehage AS	2.7
873455802	Myrsnipa barnehage	4.5
974554224	Nadderudskogen barnehage Avd Gjønnesskogen	9.2
974553740	Nadderudskogen barnehage Avd Nadderud	11.5
974553848	Nansenparken barnehage	24
997301986	Nordraaksvei Familiebarnehage	2.3
916092725	Norlandia Sjøflyhavna AS Avd barnehage	33
984173059	Nøtteliten Familiebarnehage Avd Fagerstrandveien	2.3
984173067	Nøtteliten Familiebarnehage Avd Festningsveien	2.3
979437412	Nøtteliten Familiebarnehage Avd Gamle Drammensvei	1.3
987662530	Nøtteliten Familiebarnehage Avd Gamle Solbergvei 1	2.3
984173083	Nøtteliten Familiebarnehage Avd Gamle Solbergvei 5	2.3
986103082	Nøtteliten Familiebarnehage Avd Hans Øverlandsvei	2.3
979437447	Nøtteliten Familiebarnehage Avd Hestekleiva	2.3
914045533	Nøtteliten Familiebarnehage Avd Høvikveien 60	2.3
992592591	Nøtteliten Familiebarnehage Avd Kyrresvei	2.3
984173040	Nøtteliten Familiebarnehage Avd Langoddveien	2.3
