Organisasjonsnummer	Barnehageenhetnavn	2017.Alle eierformer.Grunnbemanning totalt
973457365	Maurtoppen barnehage	3.8
875375822	Midtbygda Kanvas-Barnehage	10
988615862	Morbergtoppen Fus barnehage AS	19.1
990011540	Nedre Høvik Fus barnehage AS	17.6
974203243	Nærsnes barnehage Sa	3
974203235	Nærsnes Kystbarnehage AS	18.6
991019790	Paletten Kanvas-Barnehage	17.8
973746901	Røyken barnehage	11
974559137	Slemmestad barnehage	14
974195240	Spikkestad Kanvas-Barnehage	11.8
987013354	Spiren barnehage	5.2
997982568	Stjernen barnehage Sa	7
873746882	Sydskogen barnehage	9.7
973596683	Torvbråten Kanvas-Barnehage	10.7
994264303	Utforskeren Kanvas-Barnehage	21.7
990062463	Utsikten Familie barnehage Carina Abrahamsen	2.4
986228705	Åpen barnehage Midtbygda	1.2
873457082	Eggedal barnehage	5.9
874183342	Enger barnehage	4.2
973297287	Nerstad barnehage	9.8
973299174	Prestfoss barnehage	8
894526912	Barneplaneten Barnehagedrift AS	3
973457179	Bingen barnehage AS	4
973383159	Espira Knerten barnehage	16.8
994629034	Go Ungen Familiebarnehage	1.1
918091068	Harakollen Fus Aktivitetsbarnehage AS	20
975306585	Lerberg Kommunale barnehage	17.6
994220934	Lille Lam Familiebarnehage Valentina Winnæss	1.2
974181053	Læringsverkstedet barnehage Avd Sundbakken	7.8
973457187	Maurtua barnehage	10
989625489	Møllefossen barnehage AS	14.4
975322823	Ormåsen barnehage	17.3
987785411	Røkeberg Kultur- og Naturbarnehage Sa	17.8
975306607	Røren Kommunale barnehage	18.3
988772569	Rørensletta barnehage AS	8
975306615	Smellhaugen barnehage	13.8
991572872	Smaatroll Familiebarnehage	1
975183297	Solbakken barnehage	12.5
973494589	Stiftelsen Lyngstua barnehage	19.3
973457225	Trollstua barnehage Sa	13.6
975317641	Nordbygdene barnehage	6.2
912014401	Sando barnehage	6.4
975306496	Skattebøl barnehage	7.3
875306502	Sundre barnehage	18.6
975306518	Torpo barnehage	5.5
987948604	Áltta Siida AS	14.5
974065037	Aronnes barnehage	15
986092145	Bossekop barnehage AS	8.1
985709645	Breidablikk barnehage	16
896678272	Breverud barnehage AS	11
985202303	Furua barnehage AS	16.5
973190121	Furuly Kulturbarnehage	13
975314006	Gakori barnehage	6
994568612	Holmen Gårds og Naturbarnehage AS	6
973449850	Holten barnehage	8
974157187	Imi barnehage Avd Bakkeveien	16
975214036	Kaiskuru barnehage	15
973899228	Komsatoppen barnehage AS	9
975314022	Kronstad barnehage	9
975324419	Leirbotn barnehage	2.5
972340278	Læringsverkstedet Tornerose barnehage AS	12
975314014	Midtbakken barnehage	6
873190132	Nyland Studentbarnehage	11
991581383	Oterfaret barnehage	12
975324400	Rafsbotn barnehage	3.8
972286524	Rishaugen barnehage	9.5
987019530	Saga barnehage	17
975314030	Sentrum barnehage	15.2
972290912	Snehvit barnehage AS	10
975314049	Talvik barnehage	5.8
974205181	Tverrelvdalen barnehage	9
972197440	Åsen barnehage	9.9
974598329	Berlevåg barnehage	8.8
975314332	Klausjorda barnehage	11
975314340	Nordskogen barnehage	12
986094067	Austertana Oppvekstsenter Avdeling Barnehage	2
975325725	Boftsa Oppvekstsenter Avdeling Barnehage	4
973470639	Deanu Samiid Searvi	3.7
990182477	Sami Baikegottiid Guovddas - Samisk Bygdesenter	5.3
975314324	Tanabru barnehage	9.5
974066734	Mehamn barnehage	9.9
975313964	Beazedievva barnehage	10
975036537	Gahkkorcorru Manaigardi	9.4
975315800	Gartnetluohkka barnehage	7
975324389	Gili barnehage	6
975313972	Maze barnehage	1.5
993576131	Nuortamielli Mánáidgárdi AS	10.8
913108027	Akkarfjord Familiebarnehage	0.8
874064122	Elvetun barnehage	18
996398358	Fjordadalen Fus barnehage AS	17
875314092	Forsøl barnehage	4
974795876	Håja barnehage	17
995226855	Isbjørnhiet barnehage Sa	9.5
975268101	Mylingen barnehage	9.5
975313883	Nissenskogen barnehage	9.5
972179361	Prærien barnehage	6
975324583	Radioen barnehage	12.5
975315738	Reindalen barnehage	12.6
975314103	Rypefjord barnehage	12.5
972340243	Røverhiet barnehage	4.5
972217964	Tyven barnehage	15.5
975314065	Breivikbotn barnehage	4.2
975314073	Hasvik barnehage	4
975314081	Sørvær Oppvekstsenter Avdeling Barnehage	3.1
973503189	Badjemánáid Beaiveruoktu Sa	4
974066432	Guolban Manaidgardi	9
975324451	Lattosluohka Manaidgardi	12
974065800	Kokelv Oppvekstsenter Avd Barnehage	2.7
975314111	Kvalsund barnehage	9
975314243	Galgenes barnehage	11
975314251	Lebesby Oppvekstsenter Avdeling Barnehage	2
975314057	Øksfjord barnehage	7
974570769	Høtten barnehage	9.1
975314138	Nordkapp barnehage	18
975314146	Nordvågen barnehage	6
975324435	Skårungen barnehage	6
975314170	Ajanas barnehage	3
975314189	Billefjord Sjøsamiske Oppvekstsenter Avd Billefjord barnehage	3
872290702	Bærtua barnehage	14.2
972157236	Fagertun barnehage	6
913957687	Kos Gårds- og Familiebarnehage Grethe Liv Olaussen	1.4
975314200	Lakselv barnehage	6.9
989414186	Østerbotn Naturbarnehage AS	4
974896583	Bjørnehiet Familiebarnehage Liv-Judith Andersen	2
975314367	Bugøynes Oppvekstsenter Avd Barnehage	2
975314375	Hesseng barnehage	12.4
875324462	Jakobsnes Oppvekstsenter Avd Barnehage	3.2
975296245	Kirkenes barnehage	12.1
974831309	Knausen barnehage	9
975314391	Pasvik Oppvekstområde Avd Barnehage	5.5
972340359	Prestefjellet barnehage AS	3
974795949	Prestøya barnehage	12
975324605	Rallaren barnehage	12.5
875301012	Sandnes barnehage	9
912322211	Skytterhusfjellet barnehage	18
973503197	Villaveien Naturbarnehage Sa	10
975216381	Nesseby Oppvekstsenter Unjargga Oahppogaldu Avd Barnehage	11.8
975184161	Glimmerstua barnehage	12
979332068	Lomakka barnehage	12
974064561	Maurtua barnehage	12
875321862	Ruija barnehage	10
975313921	Stubben barnehage	11.5
972726109	Vestre Jakobselv barnehage	4.8
986120971	Sentrumbarnehage Sa	3
996654184	Vardø barnehage	16
875302892	Plassen barnehage	11.3
994581260	Sivil-Saras Eventyr barnehage Sa	5
975302903	Øwretun barnehage	17
912845893	Eidskog Naturbarnehage Sa	5
975295796	Magnor barnehage	12.7
975302563	Matrand barnehage	9.4
975302571	Skotterud barnehage	13.2
991714030	Skotterudløkka barnehage AS	5.2
973494708	Bakkebygrenda barnehage	9.8
885972942	Espira Nordmo barnehage	17.7
975302601	Fjeldmoravegen barnehage	8.6
990900019	Grønnmyra Fus barnehage AS	19.6
973471872	Hagen barnehage Sa	14.4
986849386	Hakkebakkeskogen Naturbarnehage Sa	17.3
995478528	Hernes Fus barnehage AS	14.8
875302612	Husmorlagets Hus barnehage	5.5
992330716	Kirkeby Oppvekstsenter Avdeling Barnehage	4.1
975321177	Solkroken barnehage	8.2
993610089	Sorenskrivergården barnehage	23.6
985669872	Stavåsbakken barnehage	13.7
982155908	Studentsamskipnaden i Innlandet Avd Studentbarnehagen Veien	5.2
990240981	Svartholtet barnehage AS	23.2
975302636	Søbakken barnehage	8.3
973915509	Sørskogbygda Naturbarnehage Sa	10.9
993997633	Terningen barnehage	23.4
975315797	Vestad barnehage	8.3
975302830	Drevsjø barnehage	6
975302849	Engerdal barnehage	2.6
975323056	Folldal barnehage	16.3
982326583	Gromungen barnehage Avdeling Namnå	8.5
875302582	Solungen barnehage	11.4
975315363	Svullrya barnehage Avdeling Av Solungen barnehage	2.8
973500473	Tjura barnehage Sa	10.3
975302164	Ajer barnehage	8.6
990681457	Ajer Gårds og Familiebarnehage	4
975298868	Ankerløkken barnehage	5.7
996371581	Ankerskogen barnehage	5.9
984904037	Bambini Montessoribarnehage AS	17.4
972286397	Blåveisen barnehage	13.3
985202354	Briskebyen Montessori International AS	10.8
992839902	Flekkenga Natur- og Gårdsbarnehage AS	20
975302172	Furuberget barnehage	6
989820109	Hamar Gårdsbarnehage Solfrid Bjørge Goldsack	9
994490664	Hamarbarnehagen AS	14.8
975295753	Hempa barnehage	14
975302180	Hol barnehage	9
976610636	Hompetitten barnehage Ridabu AS	4
972200913	Hvitveisen barnehage	13.2
975302334	Ingeberg barnehage	6.5
875295772	Jønsrudløkka barnehage	10
993001481	Klukhagan barnehage	14
997120973	Kronborg barnehage	10
975302342	Lovisenberg barnehage	10
918303847	Lundbo barnehage	22.7
998883636	Martodden barnehage	15
994064452	Nerby AS	10.4
994290614	Norsvin barnehage AS	6.6
975295761	Prestrud barnehage	6
989820060	Ringblomsten Familiebarnehage Solfrid Bjørge Goldsack	3.3
975317595	Skramstad barnehage	6.7
975302350	Slemsrud barnehage	6
975302369	Solvang barnehage	10
973465384	Vangli barnehage Al	8.4
975295192	Vestenga barnehage	12
975302385	Åker barnehage	10
973500422	Austmarka barnehage Sa	5.3
974576171	Brandval barnehage	8.2
994295470	Eskoleia barnehage	17.4
974576120	Langeland barnehage	14.6
972228311	Lia barnehage Sa	24.1
990167249	Marikollen barnehage	13.5
974196492	Myrulla barnehage	19.2
996081656	Puttara Fus barnehage AS	29.1
974576147	Vangen barnehage	10.6
973664883	Vinger barnehage Avd Amundheimet	10
974576139	Vinger barnehage Avd Vennersberg	12
975266974	Brovold barnehage	12.6
976666097	Jønsrud barnehage	6
988484539	Livenssveen Gardsbarnehage	9.1
973669885	Lund barnehage	6
975302407	Ryli barnehage	6
982432677	Skogly barnehage AS	20.5
974797623	Skøienhagen barnehage	9
875322982	Ådalsbruk barnehage	6
975302490	Knapper barnehage	7.7
975302504	Mo barnehage	10.9
975302512	Møllerbakken barnehage	9.3
981591046	Sand barnehage	23.7
975302970	Dalsbygda barnehage	2.7
919231769	Os barnehage	12
975302814	Rendalen barnehage	14.4
992953403	Bakkehaugen barnehage	20
972286427	Bjørkebo barnehage Al	18.2
986701419	Brumund barnehage	3
986951016	Brumunddal. Moelv og Nes Åpen barnehage	3
975267911	Brøttum barnehage	8.4
975302229	Buttekvern barnehage	14
975266729	Fagernes barnehage	5.8
975302237	Fossen barnehage	11.1
992779373	Fredbo Familiebarnehage	2.8
975302245	Fredheimvegen barnehage	9
975302253	Furnes barnehage	6
973474871	Gaupen barnehage AS	7
975302261	Hempa barnehage	10
973719025	Kjeldbakken Familiebarnehage	2.4
984619588	Kjerringhaugen Steinerbarnehage	3.8
972346489	Kremmerhuset barnehage Sa	13
975320642	Kylstad barnehage	3
980948064	Liaveien Familiebarnehage Stein Arneberg	3
975302288	Lismarka barnehage	6.8
918394192	Marihøna Gårds- og Friluftsbarnehage AS	22.2
973489550	Mesnali barnehage Al	7.8
975295206	Moelv barnehage	13
972285617	Mæhlumslykkja barnehage Ba	6
996001253	Nes barnehage	31.7
982267595	Nordheim Friluftsbarnehage Sa	4.7
982286603	Nydal Familiebarnehage	2
998199948	Simenstua barnehage	13
975264009	Stavsberg barnehage Sa	10
992753153	Stensbak Familiebarnehage	1.2
973469630	Stiftelsen Borgen barnehage	16.5
984786948	Tunet barnehage AS	3.3
987415959	Tømmerli barnehage	10.8
973494635	Veldre barnehage Sa	17.6
975302318	Vesleparken barnehage	7
894400862	Øverkvern Fus barnehage	31.8
995965747	Årengen barnehage AS	7.6
993098396	Åsen barnehage	3.6
881117592	Bamsebo barnehage AS	12.3
973455885	Barnas Rett barnehage Sa	20.4
993452580	Bekkelaget barnehage	8.4
975302415	Enerhaugen barnehage	10.6
975302423	Espa Skole og barnehage Avd Barnehage	6
983577180	Grimerud barnehage	7.6
975295982	Hoberg barnehage	10
975302474	Holmlund barnehage	17
982388120	Huse Gards- Familiebarnehage AS	2
989570137	Kausvol Gardsbarnehage AS	10.5
973469703	Læringsverkstedet barnehage Avd Nerby	24.1
975302466	Navneberget barnehage	9.4
975302458	Nordstad barnehage	10
975298876	Romedal barnehage	11
979975899	Solvang barnehage AS	9.4
971484241	Stiftelsen Steinerbarnehagen på Hedmarken	15.9
973348914	Tangen Menighets barnehage	10
973474898	Utsikten barnehage	16.2
976639804	Vallset barnehage	13
975302431	Åsbygda barnehage	8
974603632	Koppang barnehage	12
973352148	Menighetens barnehage	6
975302768	Sollia barnehage	2.2
974187477	Disenå barnehage	7.2
973465244	Galterud Heltidsbarnehage	7
973672762	Korsmo barnehage	18
995680696	Oppstad Gårds- og Naturbarnehage Sa	7.5
973455915	Sander barnehage	10
973513427	Slåstad barnehage Sa	6
975302539	Tronbøl barnehage	11
973513435	Ullern barnehage Sa	10.8
975302865	Knutshauåen barnehage	5.4
875296922	Lyngbo barnehage	6.2
975302873	Vingelen barnehage	6.4
975295214	Jordet barnehage	4.9
992089512	Knerten barnehage AS	5
994143891	Læringsverkstedet barnehage Avd Vestadbakken	7.9
976466411	Muggoppen barnehage AS	3.8
975302652	Nybergsund barnehage	6.2
975302660	Nysted barnehage	10.4
919113197	Revhi Familiebarnehage Da	1.5
987254432	Trysil Menighetsbarnehage AS	4
975302687	Vestre Trysil barnehage	3.2
975302717	Østby barnehage	3
975320308	Østmojordet barnehage	10.8
974570181	Eggen barnehage Sa	7.4
874570192	Fåset Skole og barnehage Avd Barnehage	4.2
974570203	Haverslia barnehage	12
974570211	Kvikne barnehage	3.2
993131075	Lekestua barnehage	4.9
974570238	Skogstua barnehage	13
974570246	Tronstua barnehage	16
988611336	Øyan barnehage AS	2
873455942	Furunabben barnehage Sa	12.5
975323048	Nordhagen barnehage	7.1
873468912	Tøråsen Private barnehage	3
975302598	Vålbyen barnehage	6.1
894911662	Birkebeineren barnehage	7
975302725	Deset Oppvekstsenter Avdeling barnehage	3
973352377	Klingen Naturbarnehage Sa	6.2
975302733	Osen Oppvekstsenter Avdeling barnehage	3
987046279	Ottershagen Gardsbarnehage AS	8.3
980483940	Skyssveien barnehage	12
975302741	Trollhaugen barnehage	9
984373309	Bashammeren barnehage	7.9
916640838	Finnskogen barnehage Sa	3.5
976887581	Jara barnehage	4
973470655	Mosogn barnehage og Etter Skoleordning Sa	7
974603101	Myrsnipa barnehage	9
990802025	Solør Montessori barnehage AS	5
974603098	Sønsterud barnehage	5
991012621	Tyristubben Fus barnehage AS	12.4
976673824	Ask barnehage	19
990060959	Askøy Forum barnehage	8
992736046	Bakarvågen Fus barnehage AS	17.4
974600838	Erdal barnehage	13.1
989875906	Espira Stongafjellet barnehage	23.7
874600822	Florvåg barnehage	14.1
988761532	Fridahuset AS	22.2
991544593	Furehaugen barnehage AS	16.5
973167189	Furuly barnehage	16.3
994182382	Gnist Barnehager Skogstunet AS	36.9
975323374	Hanøy barnehage	7.9
983638759	Haugen barnehage AS Natur og Friluftsliv	11.2
991696830	Haugland Gårdsbarnehage Askøy AS	12.6
875290932	Kleppestø barnehage	18.3
988163236	Lykketrollet Fus barnehage AS	17
993454443	Læringsverkstedet barnehage Avd Du og Jeg Juvik	29.4
987854197	Læringsverkstedet barnehage Avd Kleppe	20.8
976619943	Læringsverkstedet barnehage Avd Soltun	14.8
981925017	Læringsverkstedet Du og Jeg Nord	17
988019364	Læringsverkstedet Du og Jeg Sør	14.5
973076493	Myrane Kanvas-Barnehage	14.4
812288172	Nab Skogen barnehage AS	20.2
990060843	Ramsøy barnehage	7.4
979136250	Ravnanger barnehage AS	10
974512971	Strusshamn barnehage	10
975317730	Træet barnehage	6.4
975309134	Tveit barnehage	13.9
995085135	Ø Kleppe barnehage AS	6.3
975309061	Bekkjarvik Maritime barnehage	16
985209421	Haugland Gards- og Friluftsbarnehage AS	7.2
992250224	Hoppensprett Vinnes	4
973383426	Kolbeinsvik barnehage	4.6
976708601	Lyngtua barnehage	2.2
980182347	Sjøliv barnehage	18
973481878	Sol-Li barnehage AS	18.9
996437752	Storebø Fus barnehage AS	14.9
875309242	Austrheim Kystbarnehage	24
975315118	Kaland barnehage	17.7
994295314	A2g barnehage	31.4
974737396	Akasia Arna Kyrkjelyd Sin barnehage	6.3
815471202	Akasia Bjeknesparken barnehage	17
973334662	Akasia Domkirken barnehage	8
874225762	Akasia Fana barnehage	25.4
973334727	Akasia Laksevåg Kirkes barnehage	8
874316342	Akasia Landås Menighetsbarnehage	7
993530026	Akasia Litlafjell barnehage	34.7
998178991	Akasia Neshaugane barnehage	16
973383620	Akasia Nygård Menighetsbarnehage	13.5
973334743	Akasia Nykirken barnehage	15.6
972181161	Akasia Paradis barnehage	23
913205820	Akasia Ramstad barnehage	18.9
890941702	Akasia Råtun barnehage	21.2
973334832	Akasia Sandviken Menighetsbarnehage	6.6
991895299	Akasia Skjold Menighetsbarnehage	18.5
972291706	Akasia Skranesvingen barnehage	12
986421750	Akasia Sædalen barnehage	28
973304100	Akasia Søreide Menighetsbarnehage	17
988504483	Akrobaten barnehage AS	13
986839658	Apeltun barnehage	16
974739259	Arna Familiebarnehage	8.5
974739054	Arnatveit barnehage	12.1
974739216	Aurdalslia barnehage	12
973501283	Bedehusbarnehagen	8.2
973513753	Bergen barnehage	6
973334859	Bergen Miljøbarnehage AS	3.6
974737450	Bergens Barneasyl	16
975217604	Betanien barnehage	10.6
972213969	Birken barnehage AS	3.8
974315483	Biskopshavn barnehage Sa	4.7
974739348	Bjørgedalen barnehage	13
974222051	Blokkhaugen barnehage	12.4
981212355	Blokksberg barnehage	11
973924699	Bogane barnehage	10
988007196	Bortigard barnehage	21
974739186	Brinken barnehage	12
974739097	Bønes barnehage	9.5
973469665	Bønes Menighets barnehage	5.1
973076477	Bønestoppen Kanvas-Barnehage	13
811616532	Capella barnehage	11.6
991584234	Cultiva barnehage AS	5.9
873470992	Damsgård barnehage	22
873482052	Den Internasjonale barnehage i Bergen Avd Laksevåg	7.4
975185699	Den Internasjonale barnehage i Bergen Avd Sollien	10
973334794	Eidsvågnesets barnehage	8
972174017	Einerhaugen barnehage Sa	15
974222035	Eldsbakkane barnehage	12
972925098	Eldshovden barnehage Sa	9
973494406	Energiparken barnehage	6.3
975036464	Eplekarten Steinerbarnehage Sa	12.4
974739305	Ervik barnehage	15
986708251	Espira Eventyrskogen barnehage	16.1
994941488	Espira Grønnestølen barnehage	16.9
985330492	Espira Helldalsåsen barnehage	17.8
986933549	Espira Rambjøra barnehage	17.9
989980963	Espira Rå barnehage	54
990737320	Espira Solknatten barnehage	34.3
896741632	Espira Steinsviken barnehage	11.8
991191712	Espira Ulsetskogen barnehage	62.8
919409649	Eventus Birk barnehage AS Friluftsbarnehage	20.6
997458435	Eventus Eventyrdalen barnehage AS	6.4
991380507	Eventus Kvernslåtten barnehage AS	24.2
913085582	Eventus Midtun barnehage AS	20.8
976219414	Eventus Tiriltoppen barnehage AS	22.5
991469559	Fagerbakken Familiebarnehage AS	1.1
981212304	Fagertun barnehage	12.2
991103813	Fana Gårds- og Friluftsbarnehage AS	29.2
983793967	Fanatunet barnehage Sa	15.5
974220512	Fanavollen Familiebarnehage	2.6
918676708	Fantoft barnehage	20.5
975044556	Fantoft Gård barnehage	23.2
986633421	Fremtiden barnehage AS	19
990915113	Fridalen barnehage	17.3
987532874	Fridalen Menighets Åpne barnehage	0.9
990664048	Gamleskulen barnehage	13.6
989281615	Garnes Gårdsbarnehage AS	10.3
994657984	Gimle Oppveksttun Barnehage	12
973501445	Gjæringsvik Familiebarnehage	2.2
915345875	Gnist Barnehager Festeråsen AS	20.8
990918880	Gnist Barnehager Rollandslia AS	20.4
973336622	Godvik barnehage	17.8
974739003	Granebo Naturbarnehage	12
981207963	Grønskjeret barnehage AS	18.2
974739038	Grøntulien barnehage	11
974739356	Gullstølsbotn barnehage	18.5
974738813	Gyldenpris barnehage	22
974739178	Haugatun barnehage	20.6
916674775	Haugeveien barnehage	19.4
973076450	Haukedalsmyra Kanvas-Barnehage	13
974224917	Heimly barnehage	6
974738821	Hellebakken barnehage	6.5
976735617	Hellemyren barnehage	4.6
975315258	Helse Bergen Hf Hunstad Barnehage	10.5
975315096	Helse Bergen Hf Ravnebjerget Barnehage	15.8
974737760	Helse Bergen Hf Vinterdalen Barnehage	15
979468105	Helse Bergen Hf Vognstølen Barnehage	17.6
974739232	Hop Oppveksttun barnehage	16.2
989824716	Håkonshella Fus barnehage AS	15.9
974222043	Idavollen barnehage	15.2
997709268	Indre Arna barnehage	14
973338536	Indre Arna Kvinne og Familielag	0.4
982954819	International School Of Bergen Avd Barnehage	9
973162861	Jekteviken barnehage	21.8
973365274	Kaland barnehage AS	4.9
974738988	Kalfarveien barnehage	11
974739313	Kalmargaten barnehage	3
973483536	Kanadaskogen Friluftslivsbarnehage	14
972215910	Karusellen barnehage	4.3
996789276	Kidsa Allestadhaugen	12
974225875	Kidsa Breistein	22
996194361	Kidsa Brønndalen	11.1
996789136	Kidsa Christinegård	9.1
896788752	Kidsa Eidsvåg	6.4
996789209	Kidsa Erleveien	14
996194388	Kidsa Festtangen	16.1
974225867	Kidsa Haukedalen	18.3
986290389	Kidsa Hylkje	33
996789217	Kidsa Inndalen	6
974223481	Kidsa Kokstad	17.6
812657402	Kidsa Ladegården	18.2
812610082	Kidsa Løvåsbakken	12.1
996194396	Kidsa Midtbygda	14
990215723	Kidsa Myrdal	40.2
996789101	Kidsa Nyhavn	9
996789241	Kidsa Olsvikfjellet	9.9
996789284	Kidsa Ospeli	8.1
912657388	Kidsa Sandgotna	13
996194442	Kidsa Slettebakken	12
896194372	Kidsa Sølvberget	6
996788733	Kidsa Tertitten	9.1
996788717	Kidsa Toppemyr	9.6
896194402	Kidsa Varden	9.7
996789268	Kidsa Vågedalen	14
996194434	Kidsa Øvre Sædal	17.2
996789233	Kidsa Øvsttun	17.5
996788695	Kidsa Øyrane	22.4
973076469	Kjenndalslia Kanvas-Barnehage	14
987280107	Kjøkkelvik barnehage AS	15.5
988778591	Kladden Kanvas-Barnehage	19
990307164	Klem barnehage AS	5.6
974739119	Klosteret barnehage	9.7
997709241	Kniksens Plass barnehage	18
991648704	Kristianborg barnehage	21.5
975048284	Kronen barnehage	9.6
974738902	Laksevåg barnehage	16
974739127	Langerinden barnehage	12
978727360	Lekefabrikken barnehage AS	5.6
980238636	Lekehagen Familiebarnehage	4
982974453	Lekeklossen barnehage AS Avd 1	6
977202140	Lekeklossen barnehage AS Avd 2	6
991233792	Lekeklossen barnehage AS Avd Storhammeren	6
974739046	Liakroken barnehage	25
988388440	Liland barnehage AS	18
996000389	Liten og Stor Åpen barnehage	1
974738961	Lyngfaret barnehage	12
994657925	Lyshovden Oppveksttun Avd Barnehage	17
974847795	Læringsverkstedet barnehage Avd Blomsterdalen	11.1
973456075	Læringsverkstedet barnehage Avd Helgatun	4.8
987711779	Læringsverkstedet barnehage Avd Kanutten	17.5
989625934	Læringsverkstedet barnehage Avd Krokusbakken	19
976729919	Læringsverkstedet barnehage Avd Kvernabekken	13
993601918	Læringsverkstedet barnehage Avd Steinsvikskroken	18.6
994235222	Læringsverkstedet Søreidtunet barnehage	23.7
977244366	Løbergstien barnehage AS	4.6
976094034	Løvstakken barnehage AS	7.6
994657887	Løvås Oppveksttun Avd Barnehage	13
973501313	Låven barnehage	12.7
974738848	Mannsverk barnehage	8
994915959	Mariakirken Åpen barnehage	1
992779632	Marineholmen barnehage Drift AS	7.9
974739143	Marken barnehage	6
997645545	Mathopen barnehage AS	16.6
999069312	Midtunbråtet barnehage AS	15
974739070	Minde barnehage	15
872236112	Minken barnehage	9.4
974223430	Montessoribarnehagen Knerten AS	6
874739162	Morvikbotn barnehage	12
992685530	Mulesvingen barnehage	18
915787185	Myren Gårdsbarnehage AS	18
974738899	Myrholtet barnehage	9
918305254	Møhlenpris Oppveksttun Avd barnehage	15.4
974739291	Natlandsfjellet barnehage	9.1
918305270	Nattland Oppveksttun Avd barnehage	6
914985560	Naturbasen barnehage	7
974738937	Nebbestølen barnehage	12
975183106	Nerigard barnehage	12.3
973304143	Nesttun Indremisjons barnehage	3.5
993638943	Nlm Barnehagene AS Avd Salem Åpen Barnehage	0.6
974739100	Nordås barnehage	11
995096471	Nordås Selegrend barnehage	7.5
989856472	Nordåstræets barnehage S Nordås	6.2
974739089	Norheim barnehage	13
991858733	Nubben barnehage	9
974739240	Ny Krohnborg barnehage	12.4
991648712	Nygårdsparken barnehage	10
994915274	Nykirken Åpen barnehage	1.2
996004783	Olsvik Menighets Åpen barnehage	1.4
973076485	Olsvikåsen Kanvas-Barnehage	13
975183114	Oppigard barnehage	14.2
974739135	Petedalsheia barnehage	12
983878008	Prismen Kanvas-Barnehage	8.2
974739372	Rolland barnehage	15
973455710	Rosenhagen barnehage	9.8
975198987	Rosetårnet barnehage	9.6
995119560	Sakkeus Åpen barnehage	0.2
973304747	Salhus barnehage	3
973924702	Sandalsbotn barnehage	15
897797062	Sandslimarka Kanvas-Barnehage	27.4
974739364	Seljedalen barnehage	12
982367379	Senterhagen barnehage	20.2
974222388	Sion Menighetsbarnehage	7.2
973471775	Sjøsprøyten barnehage	14.9
918305203	Skansemyren barnehage	16.6
974738856	Skjold barnehage	15
974224356	Skjoldtun barnehage	12.7
974739267	Skårungen barnehage	12
973455729	Slettebakken Menighets barnehage AS	4.3
974738864	Sletten barnehage	9
979082088	Sofusbarnehagen AS	7.1
974738872	Solbakken barnehage	14
975183149	Solgløtt barnehage	5.4
913071247	Solheimslien barnehage	18.6
913071131	Sollien barnehage	15
973455737	Solsikken barnehage Skeie AS	11
985499748	Spiren barnehage AS	6
997325753	Språkstien Åpen barnehage Slettebakken	1.2
993266361	Starefossen barnehage	3.9
979154399	Stiftelsen Selegrend barnehage	4.4
979740530	Stiftelsen Sesam	1.4
996000540	Stjernen Åpen barnehage	1.7
991636617	Storetveit barnehage	17
973288792	Straumsgrend barnehage	11
874738832	Sælen Oppveksttun Avd Barnehage	17.4
874738972	Sæterdal barnehage	6
974738996	Søre Skogvei barnehage	13.6
973345656	Tertnesparken barnehage AS	7.9
898020002	Trengereid Oppveksttun Avd Barnehage	4
986848266	Tryllefløyten Steinerbarnehage Sa	15.4
973455745	Tveitevannet barnehage Sa	3.6
997019814	Ulriken Kfuk-Kfum Åpen barnehage	0.4
974156458	Ulset barnehage	11.1
874737402	Ulsetåsen barnehage	5.9
974739062	Ulsmåg barnehage	12
974739321	Ulvedalen barnehage	5.9
974739224	Ulvhøyen barnehage	13
973334875	Unneland barnehage	13
974738880	Vadmyra barnehage	8.5
913071093	Valheim barnehage	33.6
974222027	Vallalia barnehage	14.9
983616429	Valle Familiebarnehage	2.4
984375670	Vindharpen Barnehge Sa	16.6
990265631	Våganeset barnehage	4
973076442	Våkleivbrotet Kanvas-Barnehage	13
980437132	Vår Barnehager AS	3.5
973455753	Våtun barnehage	5.1
974738945	Ytre Arna barnehage	9
874003832	Ørnehaugen barnehage V/turid Svendsen	2.2
991862153	Østre Nattlandsfjellet barnehage Ans	7.1
973924680	Øvrebø barnehage	13
992584440	Øyjorden barnehage	27
993481947	Åpen barnehage Fana Km	0.3
990636850	Åpen barnehage Sentrum	1.2
991648690	Årstad Brannstasjon barnehage	27
985366853	Åsane Gårds-Og Friluftsbarnehage	21.4
993903442	Breiflabben barnehage AS	3.2
973471023	Espira Finnås barnehage	9.7
972181153	Espira Hollund barnehage	20.9
986858997	Espira Moster barnehage	18.6
983650716	Espira Rubbestadneset barnehage	18
989540769	Espira Salamonskogen barnehage	26.1
988170011	Langevåg barnehage	11.6
973449133	Maurtua barnehage Bømlo Sa	37.4
992728337	Modnen barnehage	11.8
975308553	Enge barnehage	20.8
975308561	Rygg barnehage	4.2
875308572	Skånevik barnehage	11.7
986952926	Småfolk barnehage AS	18.7
975309258	Fedje barnehage	6.4
911992930	Dåfjorden barnehage AS	4
988820628	Fitjar Soknerådsbarnehage Stifting	12.1
974575736	Fitjarstølane barnehage	7
975898806	Fjellheim Fus Friluftsbarnehage AS	8.4
973465481	Årskog barnehage Sa	3
975325652	Bildøy barnehage	9.3
993754994	Bjorøy barnehage	16.5
