Organisasjonsnummer	Barnehageenhetnavn	2017.Alle eierformer.0 år	2017.Alle eierformer.1 år	2017.Alle eierformer.2 år	2017.Alle eierformer.3 år	2017.Alle eierformer.4 år	2017.Alle eierformer.5 år
974739305	Ervik barnehage	1	14	17	12	14	9
986708251	Espira Eventyrskogen barnehage	0	14	14	15	18	17
994941488	Espira Grønnestølen barnehage	2	11	20	15	17	13
985330492	Espira Helldalsåsen barnehage	2	16	15	17	18	15
986933549	Espira Rambjøra barnehage	2	14	16	20	14	20
989980963	Espira Rå barnehage	3	45	49	52	50	56
990737320	Espira Solknatten barnehage	5	31	38	24	33	22
896741632	Espira Steinsviken barnehage	3	8	11	10	14	10
991191712	Espira Ulsetskogen barnehage	9	59	54	67	52	52
919409649	Eventus Birk barnehage AS Friluftsbarnehage	6	31	14	11	8	8
997458435	Eventus Eventyrdalen barnehage AS	0	8	3	4	5	8
991380507	Eventus Kvernslåtten barnehage AS	0	19	24	17	24	25
913085582	Eventus Midtun barnehage AS	0	18	18	20	19	22
976219414	Eventus Tiriltoppen barnehage AS	0	14	20	27	16	29
991469559	Fagerbakken Familiebarnehage AS	0	1	3	2	4	0
981212304	Fagertun barnehage	0	11	12	15	8	6
991103813	Fana Gårds- og Friluftsbarnehage AS	2	26	25	26	24	24
983793967	Fanatunet barnehage Sa	0	9	18	10	17	10
974220512	Fanavollen Familiebarnehage	1	2	1	2	3	1
918676708	Fantoft barnehage	1	39	11	9	8	7
975044556	Fantoft Gård barnehage	4	26	19	24	14	12
986633421	Fremtiden barnehage AS	5	12	18	23	15	13
990915113	Fridalen barnehage	0	9	17	20	21	23
990664048	Gamleskulen barnehage	0	4	12	14	10	21
989281615	Garnes Gårdsbarnehage AS	0	3	10	10	11	17
994657984	Gimle Oppveksttun Barnehage	0	7	13	12	14	11
973501445	Gjæringsvik Familiebarnehage	0	3	2	4	0	0
915345875	Gnist Barnehager Festeråsen AS	1	23	25	24	9	19
990918880	Gnist Barnehager Rollandslia AS	0	16	19	26	24	27
973336622	Godvik barnehage	2	15	15	17	13	14
974739003	Granebo Naturbarnehage	0	0	3	24	18	25
981207963	Grønskjeret barnehage AS	0	17	17	19	22	15
974739038	Grøntulien barnehage	1	8	10	13	7	9
974739356	Gullstølsbotn barnehage	0	10	22	12	24	27
974738813	Gyldenpris barnehage	1	19	23	22	16	12
974739178	Haugatun barnehage	1	12	25	18	28	19
916674775	Haugeveien barnehage	2	12	26	18	12	2
973076450	Haukedalsmyra Kanvas-Barnehage	4	7	12	12	15	13
974224917	Heimly barnehage	0	4	6	6	5	9
974738821	Hellebakken barnehage	0	4	7	10	5	8
976735617	Hellemyren barnehage	0	3	5	1	4	4
975315258	Helse Bergen Hf Hunstad Barnehage	0	9	10	9	5	10
975315096	Helse Bergen Hf Ravnebjerget Barnehage	0	13	17	11	13	14
974737760	Helse Bergen Hf Vinterdalen Barnehage	0	20	13	7	9	5
979468105	Helse Bergen Hf Vognstølen Barnehage	1	19	12	10	15	13
974739232	Hop Oppveksttun barnehage	1	12	19	14	17	12
989824716	Håkonshella Fus barnehage AS	3	8	16	12	12	22
974222043	Idavollen barnehage	1	8	13	16	12	20
997709268	Indre Arna barnehage	0	13	17	13	10	7
982954819	International School Of Bergen Avd Barnehage	0	0	0	13	20	21
973162861	Jekteviken barnehage	2	30	15	22	10	15
973365274	Kaland barnehage AS	0	2	4	4	3	6
974738988	Kalfarveien barnehage	0	5	13	13	8	15
974739313	Kalmargaten barnehage	0	0	0	6	4	8
973483536	Kanadaskogen Friluftslivsbarnehage	0	8	16	11	7	13
972215910	Karusellen barnehage	0	2	4	4	4	4
996789276	Kidsa Allestadhaugen	0	11	14	12	11	9
974225875	Kidsa Breistein	2	17	22	23	22	19
996194361	Kidsa Brønndalen	0	13	12	7	7	8
996789136	Kidsa Christinegård	0	6	7	9	15	11
896788752	Kidsa Eidsvåg	0	3	7	4	9	7
996789209	Kidsa Erleveien	0	18	7	19	13	13
996194388	Kidsa Festtangen	0	10	19	13	17	20
974225867	Kidsa Haukedalen	1	11	21	16	20	18
986290389	Kidsa Hylkje	1	34	32	30	33	27
996789217	Kidsa Inndalen	0	4	6	5	6	10
974223481	Kidsa Kokstad	1	20	10	16	14	23
812657402	Kidsa Ladegården	0	12	24	18	18	13
812610082	Kidsa Løvåsbakken	0	14	10	12	11	10
996194396	Kidsa Midtbygda	0	13	16	10	13	14
990215723	Kidsa Myrdal	5	34	38	40	36	38
996789101	Kidsa Nyhavn	0	8	13	8	6	5
996789241	Kidsa Olsvikfjellet	4	9	10	2	9	9
996789284	Kidsa Ospeli	0	7	9	10	4	8
912657388	Kidsa Sandgotna	0	10	14	11	18	12
996194442	Kidsa Slettebakken	1	8	13	9	15	11
896194372	Kidsa Sølvberget	3	5	7	5	2	3
996788733	Kidsa Tertitten	1	6	8	12	5	12
996788717	Kidsa Toppemyr	0	9	7	9	10	14
896194402	Kidsa Varden	1	7	7	9	12	14
996789268	Kidsa Vågedalen	1	10	17	15	13	10
996194434	Kidsa Øvre Sædal	0	10	18	18	20	21
996789233	Kidsa Øvsttun	0	9	19	15	21	26
996788695	Kidsa Øyrane	0	17	20	28	24	25
973076469	Kjenndalslia Kanvas-Barnehage	1	11	16	16	10	12
987280107	Kjøkkelvik barnehage AS	0	4	15	19	20	24
988778591	Kladden Kanvas-Barnehage	1	16	17	24	10	22
990307164	Klem barnehage AS	0	2	5	6	8	6
974739119	Klosteret barnehage	0	6	14	4	7	9
997709241	Kniksens Plass barnehage	1	18	15	14	10	16
991648704	Kristianborg barnehage	4	22	10	23	18	14
975048284	Kronen barnehage	0	5	7	10	13	13
974738902	Laksevåg barnehage	2	6	22	17	13	14
974739127	Langerinden barnehage	0	8	13	12	14	9
978727360	Lekefabrikken barnehage AS	1	6	5	5	5	4
980238636	Lekehagen Familiebarnehage	0	6	5	1	0	0
982974453	Lekeklossen barnehage AS Avd 1	0	2	5	11	5	6
977202140	Lekeklossen barnehage AS Avd 2	1	1	8	5	7	5
991233792	Lekeklossen barnehage AS Avd Storhammeren	5	7	6	0	0	0
974739046	Liakroken barnehage	1	21	22	14	22	29
988388440	Liland barnehage AS	1	11	21	19	15	14
974738961	Lyngfaret barnehage	0	7	12	17	11	10
994657925	Lyshovden Oppveksttun Avd Barnehage	2	12	15	15	23	17
974847795	Læringsverkstedet barnehage Avd Blomsterdalen	2	10	8	6	12	13
973456075	Læringsverkstedet barnehage Avd Helgatun	0	7	3	1	3	2
987711779	Læringsverkstedet barnehage Avd Kanutten	0	9	19	16	20	27
989625934	Læringsverkstedet barnehage Avd Krokusbakken	0	22	18	22	14	11
976729919	Læringsverkstedet barnehage Avd Kvernabekken	0	11	14	10	18	11
993601918	Læringsverkstedet barnehage Avd Steinsvikskroken	0	16	20	16	17	21
994235222	Læringsverkstedet Søreidtunet barnehage	3	19	22	21	17	34
977244366	Løbergstien barnehage AS	0	4	3	6	1	4
976094034	Løvstakken barnehage AS	1	6	6	6	2	5
994657887	Løvås Oppveksttun Avd Barnehage	2	9	11	16	8	17
973501313	Låven barnehage	0	10	13	13	8	12
974738848	Mannsverk barnehage	0	5	9	5	10	10
992779632	Marineholmen barnehage Drift AS	0	8	7	5	7	3
974739143	Marken barnehage	0	3	7	6	6	6
997645545	Mathopen barnehage AS	0	10	16	16	11	17
999069312	Midtunbråtet barnehage AS	0	10	20	10	12	18
974739070	Minde barnehage	0	8	10	11	10	15
872236112	Minken barnehage	0	9	6	9	7	7
974223430	Montessoribarnehagen Knerten AS	0	0	0	12	9	12
874739162	Morvikbotn barnehage	0	10	14	8	15	6
992685530	Mulesvingen barnehage	0	14	18	11	23	16
915787185	Myren Gårdsbarnehage AS	1	19	29	9	10	6
974738899	Myrholtet barnehage	0	11	9	5	9	9
918305254	Møhlenpris Oppveksttun Avd barnehage	1	4	17	15	17	15
974739291	Natlandsfjellet barnehage	0	8	8	8	7	7
918305270	Nattland Oppveksttun Avd barnehage	1	4	5	1	7	6
914985560	Naturbasen barnehage	0	2	7	6	9	6
974738937	Nebbestølen barnehage	1	11	12	8	16	10
975183106	Nerigard barnehage	2	16	9	11	7	7
973304143	Nesttun Indremisjons barnehage	0	3	3	2	4	6
974739100	Nordås barnehage	0	5	13	12	14	12
995096471	Nordås Selegrend barnehage	0	8	5	6	6	3
989856472	Nordåstræets barnehage S Nordås	1	2	8	1	2	1
974739089	Norheim barnehage	1	7	13	7	13	13
991858733	Nubben barnehage	0	7	6	8	8	12
974739240	Ny Krohnborg barnehage	0	4	15	14	15	7
991648712	Nygårdsparken barnehage	0	15	9	5	2	5
973076485	Olsvikåsen Kanvas-Barnehage	0	13	13	10	5	17
975183114	Oppigard barnehage	0	14	17	11	11	6
974739135	Petedalsheia barnehage	2	9	8	13	11	14
983878008	Prismen Kanvas-Barnehage	0	5	13	4	5	9
974739372	Rolland barnehage	1	8	12	14	22	13
973455710	Rosenhagen barnehage	0	3	11	6	10	12
975198987	Rosetårnet barnehage	0	5	8	9	9	12
973304747	Salhus barnehage	0	1	2	2	5	5
973924702	Sandalsbotn barnehage	0	12	16	14	14	14
897797062	Sandslimarka Kanvas-Barnehage	3	25	25	30	19	21
974739364	Seljedalen barnehage	1	13	9	9	14	9
982367379	Senterhagen barnehage	1	24	11	28	21	12
974222388	Sion Menighetsbarnehage	2	2	7	9	3	5
973471775	Sjøsprøyten barnehage	2	13	14	11	9	6
918305203	Skansemyren barnehage	2	40	9	3	3	0
974738856	Skjold barnehage	1	11	10	18	20	13
974224356	Skjoldtun barnehage	0	6	12	12	13	12
974739267	Skårungen barnehage	1	11	13	11	4	9
973455729	Slettebakken Menighets barnehage AS	0	2	3	6	3	7
974738864	Sletten barnehage	0	1	8	10	16	10
979082088	Sofusbarnehagen AS	0	3	8	7	7	8
974738872	Solbakken barnehage	0	11	14	11	12	12
975183149	Solgløtt barnehage	0	4	5	2	4	7
913071247	Solheimslien barnehage	0	19	14	20	14	8
913071131	Sollien barnehage	0	5	21	15	14	16
973455737	Solsikken barnehage Skeie AS	0	8	12	7	12	9
985499748	Spiren barnehage AS	0	3	8	2	9	3
993266361	Starefossen barnehage	0	5	3	3	3	4
979154399	Stiftelsen Selegrend barnehage	0	3	3	3	5	5
991636617	Storetveit barnehage	1	15	14	9	17	17
973288792	Straumsgrend barnehage	1	7	8	12	13	5
874738832	Sælen Oppveksttun Avd Barnehage	0	15	19	16	12	15
874738972	Sæterdal barnehage	1	6	6	8	3	4
974738996	Søre Skogvei barnehage	0	12	15	14	11	8
973345656	Tertnesparken barnehage AS	0	4	4	7	6	8
898020002	Trengereid Oppveksttun Avd Barnehage	0	6	3	3	5	2
986848266	Tryllefløyten Steinerbarnehage Sa	0	14	9	17	20	17
973455745	Tveitevannet barnehage Sa	0	3	3	2	5	3
974156458	Ulset barnehage	0	8	12	10	8	11
874737402	Ulsetåsen barnehage	0	5	4	5	6	7
974739062	Ulsmåg barnehage	0	6	15	10	13	13
974739321	Ulvedalen barnehage	0	5	5	6	7	6
974739224	Ulvhøyen barnehage	0	10	10	10	8	20
973334875	Unneland barnehage	0	11	10	11	14	12
974738880	Vadmyra barnehage	0	4	11	8	8	9
913071093	Valheim barnehage	2	26	40	32	29	16
974222027	Vallalia barnehage	0	12	13	10	15	15
983616429	Valle Familiebarnehage	0	3	1	3	2	1
984375670	Vindharpen Barnehge Sa	1	10	18	13	11	18
990265631	Våganeset barnehage	1	3	4	5	1	3
973076442	Våkleivbrotet Kanvas-Barnehage	0	10	13	13	13	12
980437132	Vår Barnehager AS	3	3	4	0	0	3
973455753	Våtun barnehage	0	4	5	5	5	3
974738945	Ytre Arna barnehage	0	4	8	4	12	14
874003832	Ørnehaugen barnehage V/turid Svendsen	0	0	1	4	3	1
991862153	Østre Nattlandsfjellet barnehage Ans	0	6	5	7	3	4
973924680	Øvrebø barnehage	2	11	7	15	11	12
992584440	Øyjorden barnehage	6	22	23	27	19	20
991648690	Årstad Brannstasjon barnehage	0	9	28	24	30	33
985366853	Åsane Gårds-Og Friluftsbarnehage	0	15	18	16	20	23
993903442	Breiflabben barnehage AS	0	1	3	2	3	10
973471023	Espira Finnås barnehage	0	8	7	9	14	11
972181153	Espira Hollund barnehage	6	17	17	28	20	12
986858997	Espira Moster barnehage	3	10	19	17	20	26
983650716	Espira Rubbestadneset barnehage	2	12	17	19	13	22
989540769	Espira Salamonskogen barnehage	1	16	25	33	26	30
988170011	Langevåg barnehage	1	8	5	8	18	10
973449133	Maurtua barnehage Bømlo Sa	2	20	34	44	38	33
992728337	Modnen barnehage	0	10	8	12	4	8
975308553	Enge barnehage	0	16	23	10	18	22
975308561	Rygg barnehage	0	3	1	3	4	6
875308572	Skånevik barnehage	0	2	8	13	13	16
986952926	Småfolk barnehage AS	0	11	20	13	15	16
975309258	Fedje barnehage	0	1	6	5	5	6
911992930	Dåfjorden barnehage AS	0	3	4	2	1	2
988820628	Fitjar Soknerådsbarnehage Stifting	0	5	12	18	12	15
974575736	Fitjarstølane barnehage	0	3	7	8	7	11
975898806	Fjellheim Fus Friluftsbarnehage AS	0	7	9	6	10	6
973465481	Årskog barnehage Sa	0	3	1	3	4	3
975325652	Bildøy barnehage	0	5	10	7	7	10
993754994	Bjorøy barnehage	0	13	11	15	16	20
979192576	Gardstunet barnehage AS	0	11	11	12	13	11
998736250	Hamramyra barnehage	1	15	29	20	16	11
876772752	Havhesten Fus barnehage AS	0	9	21	20	20	14
992686111	Knappskog barnehage	2	9	17	19	17	24
995141639	Knerten Familiebarnehage	0	0	4	2	1	3
988593451	Langøy Friluftsbarnehage AS	0	6	12	8	10	6
989616005	Leirstaden barnehage	0	13	14	14	17	12
988371114	Liatunet barnehage AS	0	3	5	7	5	5
972242225	Læringsverkstedet barnehage Avd Aronien	0	11	13	19	14	3
889412062	Læringsverkstedet barnehage Avd Straume	1	16	24	24	20	32
982206103	Læringsverkstedet barnehage Avd Valen	0	15	19	18	20	20
992686073	Marihøna barnehage	0	10	11	11	16	15
985138907	Naustvika barnehage	0	11	17	16	22	19
989297937	Nlm Barnehagene AS Avd Løveparken Barnehage	0	4	16	13	18	18
990303398	Norlandia Kårtveitpollen barnehage	0	13	21	16	19	19
982272823	Soltunet Drift AS	0	3	4	1	0	0
875309072	Straume barnehage	0	7	8	8	10	6
987583134	Straumsfjellet Fam barnehage	0	3	1	1	1	4
876673622	Svingen barnehage	2	6	13	11	17	7
990137455	Tiriltunet barnehage AS	0	6	5	3	4	7
976673603	Tussetjødna barnehage	1	11	7	10	10	7
988387207	Ulven Naturbarnehage	0	8	20	16	25	16
975323366	Ulveseth barnehage Avd Fjell	0	5	5	10	6	6
975309088	Ågotnes barnehage	0	8	6	11	28	21
973449664	Holdhus barnehage	0	2	4	2	4	8
976831071	Jettegryto barnehage	0	7	8	14	9	11
973348434	Nore Fusa Oppvekstsenter, avd barnehage	0	7	6	7	9	5
973469924	Strandvik barnehage	0	2	4	4	4	4
975815978	Søre Fusa Oppvekstsenter, avd barnehage	0	3	3	4	4	4
975295397	Trollstigen barnehage	0	4	8	5	13	9
973353055	Vinnes barnehage	0	1	3	3	3	3
975309002	Tueteigen barnehage	0	6	8	9	9	9
975308855	Jondal barnehage	0	8	7	15	12	12
973341235	Norheimsund barnehage	0	18	20	15	26	24
992273259	Sandven Fus barnehage AS	0	10	14	20	20	18
973953745	Strandebarm barnehage	0	4	9	10	12	6
891899262	Tørvikbygd barnehage	0	6	8	8	3	3
973953826	Øystese barnehage	0	15	26	38	41	29
973953869	Ålvik barnehage	0	4	4	3	3	7
996833127	Akasia Valen barnehage	3	5	17	15	15	17
974614839	Bringedalsbygda barnehage	0	4	7	6	4	6
989634488	Dønhaug Gardsbarnehage	0	4	2	4	4	4
990835292	Espira Halsnøy Kloster barnehage	0	17	24	20	17	15
974614820	Hatlestrand barnehage	0	1	3	4	2	3
974156466	Hauge barnehage	0	0	1	3	4	4
988228303	Læringsverkstedet Handeland Friluftsbarnehage AS	0	6	8	12	7	11
985247412	Mauranger barnehage	0	1	1	1	3	3
980846040	Myrane barnehage	0	9	16	8	15	12
974614758	Omvikdalen barnehage	0	1	14	7	10	14
993595144	Rosendal Fus barnehage AS	1	9	14	17	16	19
874614742	Sunde barnehage	0	4	12	13	10	14
974614723	Undarheim barnehage	0	12	13	13	14	16
974614812	Uskedalen barnehage	0	6	3	5	10	6
988471011	Varaldsøy barnehage	0	1	0	2	1	1
974614847	Ølve barnehage	0	2	0	3	2	5
974614790	Åkra barnehage	0	0	0	2	2	0
973484257	Alversund Montessoribarnehage AS	1	3	14	16	9	11
989628089	Barnas barnehage Hundvin	0	4	8	5	6	7
985787220	Barnas barnehage Kløvheim	0	5	4	6	7	7
973965204	Haugen barnehage	0	6	10	12	7	7
991555749	Juvikstølen barnehage	0	17	22	26	18	33
973383477	Knarvik barnehage AS	1	16	22	33	24	25
973965220	Kolås barnehage	0	8	11	13	10	7
986286683	Leiknes Fus barnehage AS	1	8	16	18	13	21
989981544	Lykkeliten barnehage	0	3	4	5	4	3
973488651	Natås barnehage Sa	0	2	6	5	8	8
992741945	Ostereidet Fus barnehage AS	0	10	10	16	12	10
991943854	Seim barnehage Sa	1	10	15	23	21	21
880928422	Smilehullet Familiebarnehage Anne Mari Arnesen	0	2	5	1	3	0
983043712	Solhaugen barnehage Sa	1	6	17	16	22	12
982986850	Trollskogen barnehage Ikenberget Sa	1	7	25	18	18	24
973800523	Wilhaven AS	0	2	2	0	6	0
973383485	Indre Masfjorden barnehage	1	4	4	4	4	5
976674251	Nordbygda barnehage	0	8	10	8	6	15
876674262	Sandnes barnehage	0	4	2	9	8	10
973383469	Blåklokka barnehage	2	15	19	24	31	20
997702883	Drømmehagen barnehage AS	2	22	25	33	27	45
990106649	Espira Marthahaugen barnehage	1	14	13	19	19	25
973356550	Leiketun barnehage AS	0	17	17	20	17	24
888021442	Leirdalen barnehage Sa	1	8	9	9	7	5
994906372	Lita-God Familiebarnehage	2	2	0	1	3	2
974855615	Læringsverkstedet barnehage Avd Flatøy	0	4	3	4	4	4
984597894	Læringsverkstedet Maurtua AS Barnehage	0	6	8	10	15	13
975309215	Marihøna barnehage	0	8	9	10	6	4
975309185	Modalen barnehage	0	2	7	7	6	5
975322173	Eidesåsen barnehage	0	3	5	8	5	7
973945718	Eitrheimsvågen barnehage	0	13	17	14	13	16
875308882	Hestavoll barnehage	0	4	8	12	14	11
975308898	Rabben barnehage	0	6	18	16	16	15
975308901	Røldal barnehage	1	5	0	2	6	5
875308912	Skare barnehage	0	2	7	5	7	5
975308928	Tyssedal barnehage	0	2	4	4	7	7
882773612	Banktjørhaugen barnehage Ba	0	11	12	6	13	10
994214217	Borgafjell barnehage AS	4	20	29	18	26	25
989861069	Espira Kuventræ barnehage	5	20	31	37	36	34
994048686	Espira Ulvenvatnet barnehage	10	12	22	24	24	21
996472027	Flåten Naturbarnehage AS	0	5	8	8	6	7
973469932	Hegglandsdalen barnehage	3	7	9	9	10	6
992098570	Hjellemarka Fus barnehage AS	0	15	18	11	15	13
875297252	Lysekloster barnehage	0	12	12	12	15	19
987186313	Læringsverkstedet barnehage Avd Kuvågen	0	20	24	24	19	20
973469983	Nøtteliten barnehage	1	12	18	21	17	24
975309045	Os barnehage	0	13	30	27	31	19
995652137	Skeisbotnen barnehage AS	0	15	16	17	22	22
994708007	Skorvane Fus barnehage AS	1	11	18	6	13	14
990895023	Søre Neset Fus barnehage AS	0	8	10	18	12	13
975183440	Søre Øyane Grendalag Naturbarnehage Sa	0	5	13	12	25	13
872153322	Varhaug barnehage	0	7	9	15	11	12
982764017	Fotlandsvåg barnehage	0	2	11	6	6	7
975309207	Hauge barnehage	0	14	12	14	16	20
975321290	Haus barnehage	0	8	17	11	18	21
975309193	Lonevåg barnehage	0	11	29	23	26	25
976873416	Mjøsdalen barnehage	0	2	4	3	7	2
986878327	Osterøy Gårds og Friluftsbarnehage AS	1	5	9	8	7	8
976295307	Reppen barnehage AS	0	12	16	16	16	19
975322041	Valestrand barnehage	0	4	9	3	6	13
975297276	Austebygd barnehage	0	0	2	4	9	8
975309231	Bø barnehage	0	8	14	14	7	15
917114641	Grindheim Familie- og Gardsbarnehage AS	1	1	3	4	1	0
975298981	Prestmarka barnehage	0	19	29	26	31	32
975297284	Sæbø barnehage	0	7	9	12	16	9
975323323	Dråpeslottet barnehage	0	6	12	12	7	9
975321282	Vassloppa barnehage	0	9	8	12	11	15
980771210	Aadland Gards- og Friluftsbarnehage AS	0	3	2	9	6	7
979986475	Bergly Familiebarnehage	0	4	5	0	0	0
994349511	Dalen Fus barnehage AS	0	8	14	4	8	11
975296040	Furuly barnehage	0	8	7	10	6	14
989318764	Heiane barnehage	0	3	0	6	7	3
986896848	Kåreviksmarka Fus barnehage AS	1	5	16	16	11	18
982318475	Naustvågen barnehage	0	8	11	6	15	9
980335771	Nordbygdo Fus barnehage AS Avd Prestagardskogen	2	13	14	6	13	6
911616734	Nordbygdo Fus barnehage AS Avd Tyse	0	11	22	19	4	5
990739609	Olderdalen Fus Kulturbarnehage AS	1	15	15	22	20	20
992098783	Sagvåg Maritime Fus barnehage AS	0	14	15	18	19	15
975323285	Sagvåg og Litlabø barnehage	0	5	10	9	10	17
975296032	Skogatufto barnehage	1	4	10	23	12	17
988487376	Stuastølen Gardsbarnehage	0	0	2	5	6	6
896934112	Sæ barnehage AS	1	21	27	29	22	25
975323269	Sævarhagen Fus barnehage AS	4	21	14	16	15	20
975315630	Tjødnalio barnehage	0	7	9	9	7	12
975308715	Trodlahaugen barnehage	0	6	9	15	9	12
986896724	Valvatna Fus barnehage AS	0	9	11	17	14	16
991111298	Villvettene Friluftsbarnehage avd Rommetveit AS	0	0	1	3	6	6
888380892	Ås barnehage	4	16	12	22	9	14
980444325	Glesnes barnehage	0	7	6	10	10	14
873167092	Klokkarvik barnehage	2	16	20	22	23	22
994506404	Sauafjellet Fus barnehage AS	1	11	16	20	21	25
975315762	Skogsvåg barnehage	0	16	14	18	16	24
876673452	Stranda barnehage	0	11	16	23	22	28
976673522	Telavåg barnehage	0	6	8	5	4	11
873456302	Bråtveit Natur og Kulturbarnehage	0	7	5	5	10	6
973456334	Bua Kultur- og Friluftsbarnehage AS	0	1	8	5	5	6
897463962	Espira Solkroken barnehage	0	11	16	19	20	23
975308626	Førde barnehage	0	3	10	10	10	11
991194401	Gjermundshaugen Fus barnehage AS	0	10	19	13	17	10
978691927	Læringsverkstedet barnehage Avd Ekrene Natur og Gårdsbarnehage	0	4	8	10	12	21
975296466	Sveio barnehage	0	4	8	7	12	10
991691111	Valestrand Oppvekstsenter Avd barnehage	0	2	5	3	5	4
976618580	Lunde barnehage	0	6	4	5	4	2
975308766	Onarheim barnehage	0	2	5	8	1	9
994470426	Stjernereiso barnehage	0	8	7	20	15	15
975308812	Vågsmarka barnehage	0	4	5	5	7	4
975308936	Aga barnehage	0	5	3	6	5	6
975268306	Kinsarvik barnehage	0	5	7	6	10	16
975308979	Sekse barnehage	0	3	5	5	4	6
975296814	Utne barnehage	0	2	4	2	2	6
976673123	Veisane barnehage	0	2	9	7	8	11
975308995	Ulvik barnehage	1	8	16	9	12	18
975309142	Dale barnehage	0	0	0	11	16	9
975309177	Stamnes barnehage	0	2	2	3	3	4
975296660	Stanghelle barnehage	0	15	28	16	12	12
875320092	Vaksdal barnehage	0	8	18	16	10	11
974593947	Bjørgamarka barnehage	0	3	14	12	9	14
973456873	Bordalen barnehage Sa	0	3	2	7	1	4
974180944	Bulken barnehage	0	3	6	6	3	10
975309010	Evanger barnehage	0	2	6	7	3	9
974593912	Gjernes barnehage	0	7	6	6	4	9
975300366	Hauge barnehage	0	0	3	0	5	1
974593890	Klausabakken barnehage	0	20	37	20	26	26
974593874	Kløve barnehage	0	4	4	10	5	2
982263859	Læringsverkstedet barnehage Avd Tvildemoen	0	10	22	17	24	27
973508032	Mønshaugen barnehage	0	3	2	3	4	2
893806482	Regnbogen Natur og Kulturbarnehage AS	0	8	8	15	10	14
973513303	Rogne barnehage	0	3	1	4	5	1
987046074	Skulestad barnehage Sa	0	10	18	13	18	17
893595112	Sundve Fus barnehage AS	0	8	13	10	12	8
984872844	Vethe Gardsbarnehage AS	0	4	1	2	2	5
991779310	Vetlebarnehagen AS	0	2	1	4	1	2
994374451	Voss barnehage	0	15	22	20	29	18
985921288	Breivik barnehage	0	4	14	8	11	13
994954113	Knappen Familiebarnehage	0	1	2	0	2	0
997183479	Nlm-Barnehage i Øygarden AS	0	12	26	20	35	28
994954059	Spurven Familiebarnehage	0	0	2	1	0	2
975309223	Terna barnehage	0	12	22	16	13	17
875314602	Tjeldstø barnehage	0	10	7	5	6	6
992296437	Barnebo barnehage Avdeling Furutun	0	18	8	9	0	0
995200007	Barnebo barnehage Avdeling Riksfjord	0	0	0	5	31	35
974013568	Bergetippen barnehage	0	11	10	16	11	18
987552093	Trollmyra barnehage Aukra AS	0	0	4	8	0	0
975323943	Aure Sentrumsbarnehage	0	9	12	7	8	10
976677056	Nordlandet barnehage	2	4	3	4	11	9
975315355	Steinhaugen barnehage	0	6	5	6	8	7
983835643	Stemshaug barnehage	0	3	5	2	5	8
994656198	Straumsvik barnehage Sa	0	3	6	2	7	6
997230248	Trollberget Familiebarnehage Lena Berntzen	0	0	1	1	0	0
975315533	Bremsnes barnehage	0	6	6	11	6	17
985952787	Båsemor Ans	1	0	8	9	9	7
992871172	Hjellan Familiebarnehage	0	1	2	2	3	2
875315552	Kårvåg barnehage	0	5	6	9	6	7
976676548	Meek Oppvekstsenter Avdeling Barnehage	0	0	0	3	3	6
915519024	Mobarn Panorama barnehage	1	9	9	11	13	4
994461575	Mobarn Røsandåsen barnehage	0	6	8	10	11	15
990613508	Solsiden barnehage	0	0	1	2	5	4
997964853	Øyane barnehage AS	1	5	9	7	5	8
975315541	Eide barnehage	1	10	12	13	10	15
875310712	Lyngstad barnehage	0	5	6	5	7	5
975314677	Svanviken barnehage	0	9	12	12	8	15
975310728	Vevang barnehage	1	3	5	5	9	7
975321045	Bud barnehage	0	7	10	11	17	11
973448765	Haugtussa barnehage	0	8	13	9	11	18
975323846	Hustad barnehage	0	7	9	17	12	13
974706954	Jendem barnehage	0	6	7	10	12	6
917230870	Krohnstad Montessori Friluftsbarnehage	0	7	7	5	2	1
991452451	Mobarn Dalelia barnehage	2	12	15	11	7	16
974194937	Mobarn Hauglia barnehage	0	5	5	12	7	7
917875103	Mobarn Lyngen barnehage	1	12	10	6	3	3
973512013	Mobarn Sylte og Malme barnehage	1	9	15	9	13	10
974147580	Nlm Barnehagene AS Avd Utsyn Barnehage Elnesvågen	0	6	19	14	10	8
980969398	Tornes barnehage	1	10	6	11	16	12
973357204	Daggry barnehage	0	12	16	15	17	14
974011522	Giske barnehage	0	9	15	16	14	11
991369058	Gnist Barnehager Nordstrand AS	7	20	28	22	24	21
995737353	Gnist Barnehager Sætra AS	4	14	24	24	11	18
973448781	Myra barnehage	0	6	5	6	6	8
974187620	Nlm Barnehagene AS Avd Tryggheim Barnehage Godøya	0	5	12	19	13	22
973747223	Skjong barnehage	0	6	13	12	10	14
974011530	Vigra barnehage	0	3	10	10	18	18
976832345	Angvik barnehage	0	3	3	6	3	7
992880554	Astaddalen Museumsbarnehage	0	0	4	4	2	5
986954422	Bergsøy barnehage	0	1	3	2	1	5
992927720	Lykkeliten Barnehage, Storlandet Sa	1	1	2	4	2	4
874146102	Nlm Barnehagene AS Avd Torvikbukt Barnehage	0	3	4	5	11	4
974015226	Solsida barnehage	0	9	9	8	9	9
975314707	Halsanaustan barnehage	0	2	1	2	5	3
974017598	Liabø barnehage	0	5	7	1	6	4
975314715	Valsøyfjord barnehage	0	2	4	6	2	5
972290807	Brattvåg barnehage Sa	0	9	16	9	18	15
