Organisasjonsnummer	Barnehageenhetnavn	2017.Alle eierformer.0 år	2017.Alle eierformer.1 år	2017.Alle eierformer.2 år	2017.Alle eierformer.3 år	2017.Alle eierformer.4 år	2017.Alle eierformer.5 år
973469150	Berghoff barnehage	0	5	5	6	6	4
973602993	Blommenholm barnehage	0	0	2	3	4	7
988362484	Blåklokken Fam barnehage Avd Haslum Terrasse	0	2	5	1	0	0
993901172	Blåklokken Fam barnehage Avd Skogveien	0	4	3	1	0	0
973471961	Blåveiskroken barnehage	0	4	5	9	3	6
998991250	Bærumsmarka Fus barnehage AS	0	16	24	23	22	12
973346407	Damstua barnehage	0	0	0	7	3	8
993814466	Dønski barnehage	0	13	23	23	20	29
973445995	Eikebo barnehage	0	3	9	8	8	6
974553864	Eikelia barnehage	0	21	19	17	14	34
976795024	Eiksmarka Foreldrelagsbarnehage	0	6	7	11	14	17
989491482	Ekebergparken barnehage	0	7	11	10	14	12
980430588	Ekrekroken barnehage Sa	0	11	8	17	21	24
987806028	Emma Hjorth barnehage	0	7	6	17	14	15
979698631	Epleskogen barnehage Sa	1	8	6	14	11	9
981007980	Espira Evje barnehage Avd Blåveisbakken	0	10	10	12	10	11
981007816	Espira Evje barnehage Avd Nøtteskogen	0	10	11	11	10	15
981007875	Espira Evje barnehage Avd Skogholtet	1	10	12	14	13	7
915616518	Fjordveien barnehage	4	36	42	13	25	9
973598430	Flåklypa barnehage	0	7	7	7	8	6
916682166	Forneburingen barnehage	0	43	12	8	6	2
874553832	Forneburingen barnehage Avd Kilentunet	0	1	9	3	4	6
987644788	Furu barnehage	0	7	7	13	7	10
874554162	Fururabben barnehage	0	10	8	4	10	12
973337785	Gartnerveien barnehage og Habilitering	0	0	3	3	1	1
974891778	Gjettum barnehage Sa	0	5	8	13	14	13
986136215	Glassverket barnehage	1	23	15	22	23	20
974553929	Glitre barnehage Avd Langeleiken	0	8	14	8	12	13
974554119	Glitre barnehage Avd Løkenlia	0	0	9	9	17	9
993162604	Glitre barnehage Avdeling Soppen	0	0	0	0	0	12
974553775	Gommerud barnehage	0	12	20	25	21	12
991649891	Gommerud barnehage Avdeling Idrett	0	0	0	0	6	12
974553791	Grav barnehage Avdeling Liom	0	5	13	6	15	13
973336460	Grav barnehage Avdeling Øvrevoll	0	0	0	0	5	13
976056957	Grindaberget barnehage Sa	0	10	10	7	11	12
974554151	Grini barnehage Avd Briskehaugen	0	1	6	15	12	13
974554194	Grini barnehage Avd Fossum	0	2	9	4	8	14
974553805	Gullhaug barnehage	1	14	12	13	12	11
973513869	Gulltoppen barnehage	2	2	1	0	0	5
991155686	Gullungene Familiebarnehage Avd Bjerkelundsveien	1	4	3	0	0	0
882719332	Gullungene Familiebarnehage Avd Nordraaks Vei	1	6	1	0	0	0
